ID;Internal Reference;Barcode;Name;Cost;Sales Price;Product Category;Unit of Measure;Costing Method;Product Type
13180-0045;13180-0045;;Pondan Ice Cream Tiramissu 150;17287;19200;Persediaan Minuman;Units;average;Storable Product
13180-0046;13180-0046;;Pop Drink Blackberry 8G;2662;4662;Persediaan Minuman;Units;average;Storable Product
13180-0047;13180-0047;;Pop Drink Grape;2662;4662;Persediaan Minuman;Units;average;Storable Product
13180-0048;13180-0048;;Pop Drink Kelapa Muda;2662;4662;Persediaan Minuman;Units;average;Storable Product
13180-0049;13180-0049;;Pop Drink Srtrawberry;2662;4662;Persediaan Minuman;Units;average;Storable Product
13180-0050;13180-0050;;Pop Drink Tamarin;2662;4662;Persediaan Minuman;Units;average;Storable Product
13160-0001;13160-0001;;Pro Mild;9000;10000;Persediaan Rokok;Units;average;Storable Product
13160-0002;13160-0002;;Avolution Mrh;14327;16000;Persediaan Rokok;Units;average;Storable Product
13160-0003;13160-0003;;Dji Sam Soe 12;11753;13000;Persediaan Rokok;Units;average;Storable Product
13160-0004;13160-0004;;G Mild;10313;11000;Persediaan Rokok;Units;average;Storable Product
13160-0005;13160-0005;;Gudang Garam Filter 12;10695;12000;Persediaan Rokok;Units;average;Storable Product
13160-0006;13160-0006;;Marlboro Ice Blex;15100;17000;Persediaan Rokok;Units;average;Storable Product
13160-0007;13160-0007;;Marlboro Menthol Like;13750;15000;Persediaan Rokok;Units;average;Storable Product
13160-0008;13160-0008;;Marlboro Mrh 500;14129;16500;Persediaan Rokok;Units;average;Storable Product
13160-0009;13160-0009;;Marlboro Putih 500;13980;16000;Persediaan Rokok;Units;average;Storable Product
13160-0010;13160-0010;;Promild 16 Kretek;12396;10000;Persediaan Rokok;Units;average;Storable Product
13160-0011;13160-0011;;Sampoerna Mild;13451;15500;Persediaan Rokok;Units;average;Storable Product
13160-0012;13160-0012;;Surya 12;10590;12500;Persediaan Rokok;Units;average;Storable Product
13160-0013;13160-0013;;Surya 16;14109;15500;Persediaan Rokok;Units;average;Storable Product
13160-0014;13160-0014;;U-Mild;9016;10000;Persediaan Rokok;Units;average;Storable Product
